sq,question,option_a,option_b,option_c,option_d,answer,type,category
"1","The sum of ages of a father and son is 60 years. Five years ago, the father was six times as old as his son. What is the present age of the father?","50 years","45 years","40 years","55 years","A","quantitative","Equations & Problems on Ages"
"2","A mother is twice as old as her daughter. Ten years later, she will be 1.5 times as old as her daughter. What is the present age of the mother?","30 years","40 years","35 years","45 years","B","quantitative","Equations & Problems on Ages"
"3","The ratio of ages of two brothers is 3:5. Five years hence, the elder brother will be 20 years old. Find the age of the younger brother now.","12 years","15 years","18 years","20 years","C","quantitative","Equations & Problems on Ages"
"4","A man is 4 times as old as his son. After 10 years, he will be three times as old. Find their present ages.","20 and 5","30 and 10","40 and 10","36 and 9","C","quantitative","Equations & Problems on Ages"
"5","The sum of the ages of three friends is 60. If the first is twice the second, and the third is 5 years older than the second, find their ages.","20, 10, 15","25, 12, 23","30, 15, 15","24, 12, 24","A","quantitative","Equations & Problems on Ages"
"6","Ravi’s age is 3 years more than twice the age of his sister. If the sister is 7 years old, how old is Ravi?","17 years","16 years","15 years","14 years","A","quantitative","Equations & Problems on Ages"
"7","Five years ago, the sum of ages of a father and son was 40. Now the father is three times as old as the son. Find the present age of the son.","10 years","15 years","12 years","8 years","C","quantitative","Equations & Problems on Ages"
"8","The sum of the ages of a father and his son is 66 years. Ten years ago, the father’s age was 5 times the son’s age. Find their present ages.","55 and 11","50 and 16","44 and 22","60 and 6","A","quantitative","Equations & Problems on Ages"
"9","The ages of A and B are in the ratio 4:5. After 6 years, the ratio will be 5:6. Find their present ages.","16 and 20","20 and 25","12 and 15","18 and 22","A","quantitative","Equations & Problems on Ages"
"10","A father is 3 times as old as his son. After 12 years, he will be twice as old. What is the present age of the son?","12 years","10 years","14 years","15 years","B","quantitative","Equations & Problems on Ages"
"11","The sum of ages of three sisters is 45. If the first is 3 years older than the second, and the second is twice the age of the third, find their ages.","15, 12, 6","18, 15, 12","20, 15, 10","12, 15, 18","A","quantitative","Equations & Problems on Ages"
"12","Two years ago, a man was 5 times as old as his son. Now the sum of their ages is 50. Find the son’s age.","8 years","10 years","12 years","15 years","C","quantitative","Equations & Problems on Ages"
"13","A father is 28 years older than his son. In 4 years, the father will be 3 times as old as the son. Find their present ages.","28 and 14","32 and 4","40 and 12","36 and 8","D","quantitative","Equations & Problems on Ages"
"14","The ratio of the ages of two friends is 7:9. After 6 years, their ages will be in the ratio 4:5. Find their present ages.","14 and 18","21 and 27","28 and 36","35 and 45","B","quantitative","Equations & Problems on Ages"
"15","A man is twice as old as his wife. Five years ago, he was three times as old as her. Find their present ages.","30 and 15","40 and 20","50 and 25","36 and 18","D","quantitative","Equations & Problems on Ages"
"16","The sum of the ages of father, mother and son is 75. If the father is 5 years older than mother and mother is 3 times as old as the son, find the age of the son.","10 years","12 years","15 years","18 years","B","quantitative","Equations & Problems on Ages"
"17","A father is 4 times as old as his son. After 8 years, he will be twice as old as his son. Find the present age of the son.","6 years","8 years","10 years","12 years","B","quantitative","Equations & Problems on Ages"
"18","The ratio of the ages of two brothers is 5:7. After 5 years, the elder will be 21 years old. Find the present age of the younger brother.","15 years","14 years","13 years","12 years","B","quantitative","Equations & Problems on Ages"
"19","A can do a piece of work in 12 days and B in 16 days. If they work together, how long will it take to complete the work?","6 days","7 days","8 days","9 days","C","quantitative","Time, Men & Work"
"20","A and B can do a work in 10 and 15 days respectively. If they work together for 3 days, what fraction of work is left?","1/5","2/5","3/5","1/3","B","quantitative","Time, Men & Work"
"21","10 men can complete a work in 20 days. How many men are required to complete it in 10 days?","15","20","25","30","B","quantitative","Time, Men & Work"
"22","A alone can do a work in 24 days, B alone in 30 days. They work together for 6 days. How much work remains?","1/4","1/5","1/6","1/3","C","quantitative","Time, Men & Work"
"23","A can do a job in 18 days, B can do the same in 12 days. How long will it take to finish the work if they work together?","6 days","7.2 days","8 days","9 days","B","quantitative","Time, Men & Work"
"24","A, B and C can do a work in 12, 15 and 20 days respectively. They work together. How long will it take to finish the work?","4 days","5 days","6 days","7 days","B","quantitative","Time, Men & Work"
"25","If 8 men can do a work in 12 days, how many men are needed to do the same work in 6 days?","12","14","16","18","C","quantitative","Time, Men & Work"
"26","A and B can do a work in 8 and 12 days respectively. A works alone for 2 days, then B finishes the remaining work. How long will B take to complete it?","3 days","4 days","5 days","6 days","B","quantitative","Time, Men & Work"
"27","20 men can do a work in 30 days. If 10 men leave after 10 days, how many days will the remaining men take to finish the work?","15","20","25","30","B","quantitative","Time, Men & Work"
"28","A can do a job in 15 days, B in 20 days. They work on alternate days, starting with A. How long will it take to finish the work?","12 days","14 days","16 days","18 days","C","quantitative","Time, Men & Work"
"29","6 men and 8 women can do a work in 10 days. 4 men and 6 women can do it in 15 days. In how many days can 1 man and 1 woman do it together?","30","40","50","60","B","quantitative","Time, Men & Work"
"30","A can do a work in 16 days, B in 24 days. They work together for 4 days. How much work remains?","1/3","1/2","1/4","1/6","C","quantitative","Time, Men & Work"
"31","12 men can do a work in 8 days. 8 men start and work for 3 days, then how many more men are needed to finish the remaining work in 2 days?","6","8","12","10","D","quantitative","Time, Men & Work"
"32","A alone can do a job in 20 days, B alone in 30 days, C alone in 60 days. How long will it take them working together?","10 days","12 days","15 days","18 days","C","quantitative","Time, Men & Work"
"33","A group of 15 men can complete a work in 20 days. After 8 days, 5 more men join them. How many days more to complete the work?","6","8","10","12","B","quantitative","Time, Men & Work"
"34","A alone can do a work in 16 days, B alone in 24 days. They work together for 6 days, then A leaves. How long will B take to finish the remaining work?","4 days","6 days","8 days","10 days","B","quantitative","Time, Men & Work"
"35","A can do a piece of work in 18 days, B in 12 days. They work together for 3 days. How much work is left?","1/2","1/3","1/4","1/5","B","quantitative","Time, Men & Work"
"36","If 5 men can do a work in 15 days, how many men are required to do it in 9 days?","8","9","10","12","C","quantitative","Time, Men & Work"
"37","A can do a work in 20 days, B in 25 days. They start together. After 10 days, A leaves. How long will B take to finish the remaining work?","10 days","12 days","15 days","16 days","C","quantitative","Time, Men & Work"
"38","10 men can complete a work in 12 days. After 4 days, 5 men leave. How long will the remaining men take to finish the work?","8 days","10 days","12 days","14 days","B","quantitative","Time, Men & Work"
"39","A car travels 240 km at a uniform speed. If the speed had been 10 km/h more, it would have taken 1 hour less. Find the speed of the car.","40 km/h","50 km/h","60 km/h","70 km/h","C","quantitative","Time, Speed & Distance"
"40","A train covers a distance of 360 km in 4 hours. What is its average speed?","80 km/h","90 km/h","100 km/h","110 km/h","B","quantitative","Time, Speed & Distance"
"41","A cyclist travels at 12 km/h for 30 minutes and then at 18 km/h for 1 hour. Find the average speed.","14 km/h","15 km/h","16 km/h","17 km/h","B","quantitative","Time, Speed & Distance"
"42","A man walks 6 km at 4 km/h and returns at 2 km/h. Find his average speed for the whole journey.","2.5 km/h","3 km/h","3.2 km/h","3.5 km/h","C","quantitative","Time, Speed & Distance"
"43","A boat goes 30 km downstream in 2 hours and returns in 3 hours. Find the speed of the stream.","2 km/h","3 km/h","4 km/h","5 km/h","B","quantitative","Time, Speed & Distance"
"44","A car covers half of a journey at 40 km/h and the other half at 60 km/h. Find the average speed.","48 km/h","50 km/h","52 km/h","54 km/h","A","quantitative","Time, Speed & Distance"
"45","A train running at 72 km/h crosses a pole in 30 seconds. Find the length of the train.","500 m","600 m","650 m","700 m","B","quantitative","Time, Speed & Distance"
"46","Two trains 120 m and 180 m long run in opposite directions at 36 km/h and 54 km/h. Find the time to cross each other.","10 s","12 s","15 s","18 s","C","quantitative","Time, Speed & Distance"
"47","A car travels the first half of the distance at 60 km/h and the second half at 40 km/h. Find the average speed.","48 km/h","50 km/h","52 km/h","54 km/h","A","quantitative","Time, Speed & Distance"
"48","A person can row 12 km downstream in 2 hours and the same distance upstream in 3 hours. Find the speed of the boat in still water.","4 km/h","5 km/h","6 km/h","7 km/h","C","quantitative","Time, Speed & Distance"
"49","A train 200 m long passes a man running at 6 km/h in 18 seconds. Find the speed of the train.","36 km/h","40 km/h","42 km/h","45 km/h","D","quantitative","Time, Speed & Distance"
"50","A bus covers a distance of 300 km at a uniform speed. If the speed had been 5 km/h more, it would have taken 1 hour less. Find the speed of the bus.","50 km/h","55 km/h","60 km/h","65 km/h","B","quantitative","Time, Speed & Distance"
"51","A boat covers a distance of 36 km downstream in 3 hours and returns in 4 hours. Find the speed of the stream.","2 km/h","3 km/h","4 km/h","5 km/h","B","quantitative","Time, Speed & Distance"
"52","A car travels a certain distance at 60 km/h and returns at 40 km/h. Find the average speed.","48 km/h","50 km/h","52 km/h","54 km/h","A","quantitative","Time, Speed & Distance"
"53","A train 150 m long passes a pole in 15 seconds. Find its speed.","36 km/h","40 km/h","45 km/h","50 km/h","C","quantitative","Time, Speed & Distance"
"54","Two trains each 200 m long run in opposite directions at 45 km/h and 55 km/h. Find the time to cross each other.","12 s","13 s","14 s","15 s","B","quantitative","Time, Speed & Distance"
"55","A man walks 20 km at a uniform speed. If he had walked 2 km/h faster, he would have taken 1 hour less. Find his speed.","4 km/h","5 km/h","6 km/h","8 km/h","B","quantitative","Time, Speed & Distance"
"56","A boat goes 30 km downstream in 3 hours and returns in 5 hours. Find the speed of the boat in still water.","5 km/h","6 km/h","7 km/h","8 km/h","B","quantitative","Time, Speed & Distance"
"57","A train 300 m long crosses a bridge 200 m long in 25 seconds. Find the speed of the train.","60 km/h","72 km/h","75 km/h","80 km/h","C","quantitative","Time, Speed & Distance"
"58","A car covers a distance in 5 hours at 60 km/h. How much time will it take to cover the same distance at 80 km/h?","3 h 30 min","3 h 45 min","4 h","4 h 15 min","A","quantitative","Time, Speed & Distance"
"59","Five friends A, B, C, D, and E are sitting in a row. A is to the left of B, C is to the right of D. Who is in the middle?","A","B","C","D","C","quantitative","Arrangements & Scheduling"
"60","Seven people are standing in a line. If A is between B and C, and D is at one end, who is at the other end?","E","F","G","Cannot be determined","D","quantitative","Arrangements & Scheduling"
"61","In a queue of 10 people, R is 4th from the left and T is 3rd from the right. How many people are between R and T?","2","3","4","5","B","quantitative","Arrangements & Scheduling"
"62","Six friends are sitting around a circular table. If A is opposite B and C is to the left of D, who sits opposite C?","E","F","D","Cannot be determined","A","quantitative","Arrangements & Scheduling"
"63","Five people P, Q, R, S, T are sitting in a row. P is at one end, Q is second from left, T is to the immediate right of S. Who is in the middle?","P","Q","R","S","C","quantitative","Arrangements & Scheduling"
"64","A teacher wants to schedule 5 lectures in a day: Math, Science, English, History, and Geography. English must be after Science. Math is first. Which lecture is third?","English","Science","History","Cannot be determined","C","quantitative","Arrangements & Scheduling"
"65","Seven students are sitting in a row. A is 3rd from the left, B is 2nd from the right. How many students are between A and B?","2","3","4","5","B","quantitative","Arrangements & Scheduling"
"66","Eight friends are sitting in a circle. P is opposite Q, R is to the right of P, S is opposite R. Who is to the immediate left of Q?","R","S","P","Cannot be determined","D","quantitative","Arrangements & Scheduling"
"67","Five people are sitting in a row. A is not at the ends. B is at the second position. C is to the left of A. Who is at the first position?","A","B","C","D","C","quantitative","Arrangements & Scheduling"
"68","Six people are standing in a queue. If X is in front of Y, and Z is behind W, who is last in the queue?","X","Y","Z","Cannot be determined","D","quantitative","Arrangements & Scheduling"
"69","In a schedule of 7 days, meeting A must be before meeting B, C must be after D, E is on Wednesday. Which day can meeting B be scheduled?","Monday","Tuesday","Thursday","Cannot be determined","C","quantitative","Arrangements & Scheduling"
"70","Six friends are sitting around a round table. P is to the left of Q, R is opposite S. Who is to the right of P?","Q","R","S","Cannot be determined","A","quantitative","Arrangements & Scheduling"
"71","Eight people are standing in a row. A is 3rd from the left, B is 6th from the left. How many people are between A and B?","2","3","4","5","C","quantitative","Arrangements & Scheduling"
"72","Five friends sit around a circular table. X is opposite Y, Z is to the right of X. Who sits opposite Z?","W","Y","X","Cannot be determined","B","quantitative","Arrangements & Scheduling"
"73","Seven lectures are to be scheduled in a week. Math must be before English. Science must be after History. Which day can English be scheduled?","Tuesday","Wednesday","Thursday","Cannot be determined","D","quantitative","Arrangements & Scheduling"
"74","Six people are standing in a line. A is 3rd from the left, B is 4th from the right. Who is in the middle?","C","D","Cannot be determined","E","C","quantitative","Arrangements & Scheduling"
"75","In a row of 10 people, M is 5th from the left, N is 6th from the right. How many people are between M and N?","2","3","4","5","B","quantitative","Arrangements & Scheduling"
"76","Five friends are sitting around a table. P is opposite Q, R is to the left of P, S is opposite R. Who is to the right of Q?","P","R","S","Cannot be determined","C","quantitative","Arrangements & Scheduling"
"77","In a class of 60 students, 30 study Maths, 25 study Science, and 10 study both. How many study only Maths?","20","30","25","15","A","quantitative","Venn Diagram"
"78","In a group of 50 people, 20 like Tea, 30 like Coffee, 10 like both. How many like only Coffee?","20","30","25","15","D","quantitative","Venn Diagram"
"79","40 students like Cricket, 25 like Football, 10 like both. Total students = 50. How many like neither?","5","10","15","20","B","quantitative","Venn Diagram"
"80","In a survey, 100 people like apples, 80 like oranges, 50 like both. How many like at least one fruit?","130","150","180","200","B","quantitative","Venn Diagram"
"81","20 students play Chess, 15 play Carrom, 5 play both. How many play neither if total students = 30?","5","10","15","20","B","quantitative","Venn Diagram"
"82","Out of 120 students, 70 like Hindi, 50 like English, 20 like both. How many like only Hindi?","50","70","60","20","A","quantitative","Venn Diagram"
"83","30 people watch TV, 20 watch Netflix, 10 watch both. How many watch only TV?","10","20","15","25","B","quantitative","Venn Diagram"
"84","In a town, 100 people have pets: 60 have dogs, 40 have cats, 20 have both. How many have neither?","20","30","40","50","B","quantitative","Venn Diagram"
"85","50 students study Maths, 35 study Science, 15 study both. How many study only Science?","20","25","15","10","B","quantitative","Venn Diagram"
"86","70 people like Tea, 50 like Coffee, 30 like both. How many like neither if total = 100?","20","30","40","50","B","quantitative","Venn Diagram"
"87","In a survey, 60 students play football, 40 play basketball, 20 play both. How many play only football?","40","50","30","20","C","quantitative","Venn Diagram"
"88","80 people read newspapers, 50 read magazines, 30 read both. How many read only magazines?","20","30","50","40","A","quantitative","Venn Diagram"
"89","Out of 90 students, 60 like Maths, 45 like Science, 25 like both. How many like neither?","15","20","25","10","B","quantitative","Venn Diagram"
"90","In a survey, 100 people eat rice, 70 eat wheat, 50 eat both. How many eat only rice?","50","60","40","30","C","quantitative","Venn Diagram"
"91","40 students play cricket, 30 play hockey, 10 play both. How many play neither if total = 50?","10","15","20","25","A","quantitative","Venn Diagram"
"92","30 people like chocolate, 20 like vanilla, 10 like both. How many like only vanilla?","10","20","15","5","A","quantitative","Venn Diagram"
"93","In a town, 60 people like tea, 40 like coffee, 20 like both. How many like only tea?","40","30","20","50","B","quantitative","Venn Diagram"
"94","50 students read English, 35 read French, 15 read both. How many read only English?","35","50","40","30","C","quantitative","Venn Diagram"
"95","70 people like cats, 50 like dogs, 30 like both. How many like neither if total = 100?","20","30","40","50","B","quantitative","Venn Diagram"
"96","Out of 80 students, 45 like Maths, 35 like Science, 25 like both. How many like only Science?","10","15","20","25","B","quantitative","Venn Diagram"
"97","John is 5 years older than twice the age of his brother. If his brother is 10, how old is John?","20","25","15","30","B","quantitative","Equations & Ages"
"98","The sum of the ages of a father and son is 50. Father is 30 years older than son. How old is the father?","40","35","30","45","A","quantitative","Equations & Ages"
"99","A man is three times as old as his son. In 5 years, he will be twice as old. Find the son's current age.","10","15","20","12","D","quantitative","Equations & Ages"
"100","The average age of 5 people is 20 years. If one leaves, the average becomes 18. Find the age of that person.","30","32","28","25","C","quantitative","Equations & Ages"
"101","A man is 4 times as old as his son. After 8 years, he will be twice as old. Find the son's age now.","8","6","10","12","A","quantitative","Equations & Ages"
"102","The sum of ages of three friends is 60. If two of them are 20 and 18, find the third's age.","20","22","18","24","B","quantitative","Equations & Ages"
"103","Two years ago, a father was 5 times his son's age. If the son is now 6, how old is the father?","30","32","28","26","A","quantitative","Equations & Ages"
"104","The ratio of ages of A and B is 3:2. If sum of ages is 25, find B's age.","10","12","15","13","A","quantitative","Equations & Ages"
"105","Three years ago, a father's age was 7 times his daughter's. Daughter is now 8. Find father's age.","59","56","55","57","B","quantitative","Equations & Ages"
"106","The present age of a father is 40 years and son is 10. In how many years will father be 3 times son's age?","5","10","15","20","A","quantitative","Equations & Ages"
"107","The sum of ages of 4 siblings is 60. If one sibling is 12, another 15, and third 10, find fourth's age.","20","18","25","15","B","quantitative","Equations & Ages"
"108","A father is 5 times his son's age. In 10 years, he will be 3 times the son's age. Find son's age now.","10","8","6","12","B","quantitative","Equations & Ages"
"109","The sum of ages of two brothers is 30. If elder is 6 years older, find younger brother's age.","12","10","14","15","B","quantitative","Equations & Ages"
"110","A man is 6 times as old as his son. After 5 years, he will be 4 times. Find son's current age.","5","6","7","8","A","quantitative","Equations & Ages"
"111","Sum of ages of father and son is 70. In 10 years, father will be twice son's age. Find son's present age.","20","25","30","35","B","quantitative","Equations & Ages"
"112","The ratio of ages of two sisters is 4:3. If elder is 24, find younger's age.","18","16","20","12","A","quantitative","Equations & Ages"
"113","A man is twice as old as his wife. Ten years ago, he was three times older. Find wife's current age.","30","25","35","40","B","quantitative","Equations & Ages"
"114","The sum of ages of A and B is 50. Five years ago, A was twice as old as B. Find current age of A.","35","30","25","40","C","quantitative","Equations & Ages"
"115","A father is 4 times his son. In 12 years, father will be twice son's age. Find son's age now.","12","10","8","15","C","quantitative","Equations & Ages"
"116","The sum of ages of 3 children is 36. If two are 10 and 12, find third's age.","14","12","16","18","A","quantitative","Equations & Ages"
"117","5 men can complete a job in 12 days. How long will 10 men take to finish it?","6 days","8 days","10 days","12 days","A","quantitative","Time Men & Work"
"118","A and B can do a piece of work in 12 and 16 days respectively. How long will they take together?","6 days","7 days","8 days","9 days","C","quantitative","Time Men & Work"
